oracion,etiqueta
me ingresaron ochocientos ochenta y uno euros de una transferencia familiar el mes pasado,ingreso
cobré tres mil ochocientos dos euros por una transferencia,ingreso
recibí mil ciento setenta,ingreso
por una beca me pagaron dos mil cuatrocientos cincuenta y seis euros,ingreso
en una suscripción he pagado dos mil quinientos catorce con sesenta y nueve euros,gasto
acabé pagando doscientos sesenta,gasto
euros en ropa he pagado novecientos cuarenta y cuatro con noventa y siete,gasto
horas extra recientemente he cobrado doscientos cincuenta y cinco con sesenta y ocho euros por,ingreso
canguro este mes ingresé mil cuatrocientos treinta y ocho con treinta y dos euros por hacer de,ingreso
pagar un vuelo he gastado seiscientos doce con ochenta y tres euros para,gasto
euros de laura me llegó un bizum de setenta y cinco,ingreso
pagué quince euros de,gasto
una clase particular cobré noventa euros por dar,ingreso
euros el masaje me costó cuarenta y cinco,gasto
me han ingresado doscientos,ingreso
gasté setenta y nueve,gasto
me pagaron cuatro mil,ingreso
recibí seiscientos euros de,ingreso
pagamos dos mil quinientos sesenta y cuatro euros por la suscripción al periódico este trimestre,gasto
me abonaron tres mil novecientos cuarenta y cuatro euros de pensión de viudedad hoy,ingreso
se me fueron dos mil novecientos ochenta y seis euros en el supermercado,gasto
desembolsé más o menos,gasto
me ingresaron mil ciento treinta y uno euros de un proyecto,ingreso
he gastado treinta euros en libros este mes,gasto
he cobrado doscientos treinta,ingreso
pagamos doscientos cuarenta y,gasto
me ingresaron mil sesenta,ingreso
percibí tres mil novecientos,ingreso
recibí doscientos dieciséis con veinticuatro euros de una beca,ingreso
recibí cuatro mil doscientos,ingreso
he recibido cuatro mil,ingreso
periódico hace poco se fueron trescientos diecisiete euros con la suscripción al,gasto
me pagaron tres mil,ingreso
extra esta semana me han pagado cuatrocientos cuarenta y tres con cuarenta euros por horas,ingreso
percibí sesenta y siete,ingreso
pagué doscientos treinta y cuatro con sesenta y cinco euros este mes en el súper,gasto
recibí mil setecientos sesenta,ingreso
de una apuesta me han abonado mil cuatrocientos noventa y cuatro con seis euros,ingreso
he percibido mil ciento cuarenta y cinco con treinta y uno euros por una herencia,ingreso
de una apuesta recibí cuatro mil ochocientos treinta y nueve con sesenta y uno euros,ingreso
euros el coche me costó tres mil ochocientos ochenta y ocho con noventa y siete,gasto
aboné tres mil novecientos,gasto
me han pagado los doscientos euros que me debía pedro,ingreso
la semana pasada cobré mil setecientos cincuenta euros de nómina,ingreso
me han ingresado setecientos,ingreso
euros de cashback me han abonado cuarenta y cinco,ingreso
me han pasado el,gasto
he desembolsado dos mil seiscientos treinta y siete con noventa y cinco euros en el gimnasio,gasto
de cumpleaños hoy obtuve dos mil treinta y cinco euros de regalo,ingreso
zapatos hace poco se me fueron novecientos veintiuno euros con,gasto
se me fueron dos,gasto
club esta mañana invertí trescientos setenta y cinco con treinta y siete euros de la cuota del,gasto
he percibido tres mil cuarenta y seis euros por nómina,ingreso
euros en netflix he desembolsado cuatro mil trescientos siete con diecinueve,gasto
he desembolsado tres mil quinientos veinticinco con cincuenta y tres euros en gasolina,gasto
me costó mil cuatrocientos,gasto
he pagado cuatro mil,gasto
me pagaron trescientos noventa,ingreso
aboné dos mil seiscientos sesenta y cuatro euros de un vuelo,gasto
he desembolsado mil ochocientos doce euros por videojuegos esta tarde,gasto
se me fueron mil,gasto
un trabajo freelance he percibido cuatro mil ciento ochenta y ocho con cincuenta y ocho euros por,ingreso
he pagado dos mil,gasto
me cobraron ciento treinta y cuatro euros en un vuelo,gasto
me pagaron mil seiscientos setenta y uno con cincuenta y tres euros por una transferencia,ingreso
he percibido mil ciento setenta y seis con noventa y ocho euros por un trabajo freelance,ingreso
invertí mil treinta y uno con noventa y ocho euros por el ibi hace poco,gasto
cobré tres mil doscientos,ingreso
a youtube premium me costó nueve euros la suscripción,gasto
he pagado mil quinientos,gasto
he recibido aproximadamente doscientos cincuenta y dos euros por cuidar mascotas por fin,ingreso
me abonaron alrededor de,ingreso
he desembolsado mil doscientos,gasto
me ingresaron dos mil,ingreso
cobré ochenta y seis euros por un encargo de programación hoy,ingreso
recibí cuatro mil trescientos cincuenta y seis con cincuenta y uno euros de un proyecto,ingreso
fotográfico esta semana me pagaron cincuenta y seis euros por un reportaje,ingreso
me gasté cuatro mil,gasto
por una devolución cobré cuatro mil cuatrocientos cuarenta y dos con veintiséis euros,ingreso
me han abonado cuatro,ingreso
se me ingresaron aproximadamente,ingreso
deuda pendiente hoy obtuve cincuenta y uno euros por una,ingreso
he percibido tres mil,ingreso
he cobrado trece euros,ingreso
de una transferencia recibí tres mil treinta y cinco con catorce euros,ingreso
una encuesta remunerada ingresé trescientos diez euros de,ingreso
me llegó el pago de novecientos euros del proyecto,ingreso
recibí mil quinientos ochenta,ingreso
en una cena he pagado cuatro mil ciento sesenta y nueve con cincuenta y ocho euros,gasto
me llegaron trescientos veinte,ingreso
he desembolsado cuatro mil uno euros en la compra,gasto
me costó dos mil ciento diez con sesenta y tres euros una cena,gasto
de el alquiler aboné dos mil cuatrocientos treinta y cuatro con cincuenta y cuatro euros,gasto
me hicieron un cargo de cincuenta euros,gasto
durante el finde pagué diecinueve euros de diésel,gasto
he percibido dos mil novecientos setenta y nueve con noventa y cinco euros por una beca,ingreso
aboné doscientos cincuenta con,gasto
me han transferido seiscientos,ingreso
euros de twitch me han cobrado veinticinco,gasto
por un bonus he percibido mil ciento uno con ochenta y ocho euros,ingreso
por una venta ingresé ochenta y siete euros,ingreso
por una venta cobré tres mil novecientos noventa y tres euros,ingreso
percibí dos mil cuatrocientos noventa y siete con cincuenta y nueve euros por un reportaje fotográfico el lunes,ingreso
recibí mil setecientos treinta y seis con cincuenta y seis euros de salario bruto recientemente,ingreso
anual del coche me han cobrado doscientos cincuenta euros de la revisión,gasto
he desembolsado cuatrocientos cincuenta y cinco con ochenta y nueve euros en una suscripción,gasto
ingresé mil euros de un bote de la lotería,ingreso
recibí cuatro mil ciento veinte con diecisiete euros de una apuesta,ingreso
por una beca me pagaron mil quinientos noventa y nueve con cincuenta y uno euros,ingreso
recibí cuatro mil doscientos catorce con doce euros de una transferencia,ingreso
me pagaron ochenta y ocho euros por reparar el ordenador de un vecino,ingreso
me entraron ochenta y,ingreso
euros por nómina he percibido tres mil cuarenta y seis,ingreso
me han abonado mi,ingreso
me pagaron veintidós euros por dar clases particulares en febrero,ingreso
gasté noventa y cinco euros en material de oficina,gasto
aboné cuatrocientos treinta y,gasto
me abonó alrededor de,ingreso
por un proyecto cobré mil trescientos cincuenta y siete con veinticuatro euros,ingreso
me ingresaron cuatro mil trescientos ochenta y siete con setenta y cuatro euros de una apuesta,ingreso
he percibido noventa con nueve euros por una venta,ingreso
venta en vinted me pagaron al final trescientos treinta y cuatro euros de una,ingreso
ingresé novecientos noventa y seis con ochenta y siete euros por una transferencia,ingreso
he gastado mil setecientos,gasto
he pagado mil trescientos,gasto
cobré tres mil ochocientos diez euros por un bonus,ingreso
pagamos en total cuatrocientos setenta euros en gasolina,gasto
intereses en marzo me abonaron cuatro mil ochocientos ochenta y cuatro euros de,ingreso
me pagaron más o,ingreso
tuve que pagar seiscientos,gasto
he desembolsado tres mil quinientos cincuenta y tres euros ayer en un tren,gasto
he ingresado ciento cincuenta,ingreso
he pagado tres mil,gasto
me entraron novecientos cincuenta,ingreso
vuelo el lunes tuve que pagar seiscientos ochenta y seis euros de un,gasto
me cobraron sesenta euros,gasto
pagué mil novecientos ochenta euros ayer en una consulta médica,gasto
me pagaron cuatro mil cuatrocientos veintisiete con noventa y tres euros por una venta,ingreso
vuelo a londres gasté trescientos cincuenta euros en un,gasto
recibí cuatrocientos cuarenta y siete con quince euros de una transferencia familiar ayer,ingreso
un documento recientemente me hicieron un ingreso de mil ciento cuatro euros por traducir,ingreso
gasté cuatrocientos diecisiete con,gasto
una transferencia familiar obtuve aproximadamente mil novecientos ochenta y dos con cincuenta y seis euros de,ingreso
se me fueron setenta y cinco euros en el electricista,gasto
me costó más o menos cincuenta y ocho euros en un ordenador nuevo,gasto
he tenido que abonar mil novecientos treinta con dos euros este mes en la cuota del autónomo,gasto
se me ingresaron cuatrocientos,ingreso
me costó dos mil novecientos cuarenta y uno euros gasolina,gasto
por la avería me cobró cincuenta y cinco euros el fontanero,gasto
pagué tres mil cuatrocientos,gasto
me han pagado cuatrocientos cuarenta y tres con cuarenta euros por horas extra esta semana,ingreso
me ingresaron dos mil quinientos ochenta y dos con treinta y siete euros de una herencia,ingreso
euros en gasolina me gasté cuatro mil novecientos treinta y cuatro con noventa y seis,gasto
he percibido tres mil,ingreso
me entraron noventa y cinco euros de la devolución del seguro esta semana,ingreso
cobré mil treinta y,ingreso
he percibido tres mil novecientos ochenta y cuatro con setenta euros por una venta,ingreso
me abonaron cuatrocientos veinte,ingreso
diésel en febrero pagué dos mil setecientos treinta y seis euros de,gasto
en el gimnasio he desembolsado cuatrocientos ochenta y siete con tres euros,gasto
me han transferido cuatrocientos,ingreso
me ingresaron cuatrocientos dieciséis euros de la devolución del seguro por fin,ingreso
recibí seiscientos cincuenta y cinco euros de ayuda escolar recientemente,ingreso
me pagaron dos mil setecientos sesenta y cuatro euros por un proyecto,ingreso
he pagado mil quinientos,gasto
aboné trescientos quince con,gasto
he desembolsado cuatro mil cuatrocientos ochenta euros en una cena,gasto
se me ingresaron cuatrocientos,ingreso
me abonaron mil setenta,ingreso
me abonaron más o,ingreso
tejado este año he desembolsado cuatro mil trescientos ochenta euros por reparar el,gasto
recibí cuatrocientos sesenta euros de la venta de una bici,ingreso
el mes pasado obtuve dos mil ciento ocho euros de una devolución de hacienda,ingreso
en la caldera se me fueron ochocientos cincuenta y tres euros esta semana,gasto
desembolsé mil doscientos veintidós,gasto
he pagado setecientos noventa,gasto
mesa esta semana me pagaron cuatro mil ochocientos ochenta y cuatro euros por vender el ordenador de,ingreso
en una reparación me cobraron cuatrocientos noventa y seis con treinta y cuatro euros,gasto
de una transferencia recibí mil ciento setenta con setenta euros,ingreso
me gasté dos mil,gasto
obtuve cuatrocientos sesenta y cinco euros de una devolución de hacienda,ingreso
obtuve cuatrocientos sesenta y,ingreso
en una reparación me gasté tres mil seiscientos dieciséis con setenta y siete euros,gasto
desembolsé casi dos mil,gasto
me gasté cuatro mil,gasto
por una beca he percibido tres mil quinientos sesenta y nueve euros,ingreso
percibí tres mil novecientos cinco euros de una venta en wallapop,ingreso
recibí cuatro mil seiscientos,ingreso
para pagar ropa tuve que pagar ochenta y tres euros,gasto
me han pagado cuatrocientos ocho con cuarenta y uno euros de la prestación por desempleo el otro día,ingreso
pequeño por fin se me ingresaron aproximadamente mil doscientos ochenta y seis con ochenta y tres euros de un premio,ingreso
he pagado dos mil,gasto
me dejé cuarenta y uno euros con netflix anoche,gasto
me dejé cincuenta euros esta semana en la revisión del coche,gasto
por una ayuda he percibido tres mil doscientos cuarenta y siete con treinta y siete euros,ingreso
aboné cuatro mil seiscientos ochenta y dos con cincuenta y tres euros de el supermercado,gasto
en un vuelo me gasté cuatro mil seiscientos sesenta y dos euros,gasto
remunerada este mes obtuve quinientos treinta y dos con dieciséis euros de una encuesta,ingreso
de diseño ayer cobré tres mil setecientos dieciocho euros por el trabajo,ingreso
me tocó pagar veinte,gasto
revisión del coche tuve que pagar unos tres mil quinientos setenta y ocho euros por la,gasto
he cobrado mil novecientos euros esta quincena,ingreso
nómina esta semana cobré mil seiscientos euros de,ingreso
me pagaron mil novecientos ochenta con cuarenta y ocho euros por un proyecto,ingreso
tejado en marzo he tenido que abonar diez euros en reparar el,gasto
de viudedad recientemente ingresé mil novecientos setenta y nueve euros de pensión,ingreso
me han ingresado mil,ingreso
se me ingresaron aproximadamente mil doscientos ochenta y seis con ochenta y tres euros de un premio pequeño por fin,ingreso
me cobraron tres mil cuatrocientos tres euros este mes en la cuota del autónomo,gasto
me ingresaron mil ochocientos noventa y uno con cincuenta y dos euros de una apuesta,ingreso
acabé pagando cuatrocientos dieciocho euros ayer en el dentista,gasto
pagué tres mil doscientos,gasto
he desembolsado tres mil,gasto
recibí cuatro mil doscientos cuarenta y uno euros de una devolución,ingreso
particulares esta semana me han pagado cuarenta euros por dar clases,ingreso
por una transferencia cobré mil quinientos ochenta y cinco con diecinueve euros,ingreso
euros por netflix me dejé al final quinientos ochenta y uno,gasto
euros en gasolina me cobraron cuatro mil ciento ochenta con diez,gasto
he pagado mil seiscientos,gasto
he desembolsado cuatro mil,gasto
me pagaron dos mil setecientos ochenta y cinco con setenta y siete euros por nómina,ingreso
ingresé setecientos seis euros por una devolución,ingreso
aboné mil novecientos treinta,gasto
me entraron novecientos uno euros por vender una bici,ingreso
tarjeta por fin me pagaron más o menos novecientos cuarenta y dos con dieciséis euros de cashback de la,ingreso
me costó cuatrocientos once,gasto
me cobraron cuatro mil,gasto
pagué ciento ochenta euros,gasto
me costó tres mil quinientos setenta y seis con veintinueve euros el gimnasio,gasto
por una venta me pagaron cuatro mil novecientos noventa y cuatro euros,ingreso
no pude usar ingresé noventa y cinco euros por vender entradas que,ingreso
pague un cargo de cien euros,gasto
canguro este mes me cayó mil ochocientos cuatro con cuarenta y seis euros por hacer de,ingreso
ingresé en total ochocientos veinticuatro con treinta euros por traducir un documento,ingreso
pagar la hipoteca solté dos mil quinientos diez euros para,gasto
pagué tres mil cincuenta,gasto
me pagaron dos mil trescientos treinta y cinco con ochenta y seis euros por impartir un curso recientemente,ingreso
cobré mil novecientos setenta,ingreso
he pagado mil ciento veinticuatro con sesenta y tres euros en una reparación,gasto
desembolsé ciento cuatro con,gasto
me han abonado dos,ingreso
me pagaron doscientos veinte,ingreso
me han abonado mil,ingreso
he cobrado treinta y uno con ochenta y seis euros de cashback de la tarjeta,ingreso
he pagado mil trescientos veintiséis con cuarenta y uno euros este mes en la factura de la luz,gasto
solté setecientos ochenta y tres con setenta y ocho euros de un portátil el viernes,gasto
me pagaron cuatro mil,ingreso
me costó mil cuatrocientos cincuenta y cinco con ochenta y cinco euros por la factura de la luz esta tarde,gasto
euros en netflix he pagado dos mil seis con cuarenta y uno,gasto
me abonaron aproximadamente cuatrocientos noventa y tres con setenta y nueve euros por dar clases particulares por fin,ingreso
me han pagado alrededor de mil trescientos noventa y tres con setenta y cuatro euros de bonus trimestral,ingreso
me han abonado mil ochocientos noventa y nueve con setenta y nueve euros de una transferencia,ingreso
he pagado cuatrocientos treinta y tres con veintiocho euros en la compra,gasto
ingresé tres mil novecientos treinta y uno euros por una transferencia,ingreso
me entraron setenta y cinco euros de una devolución de hacienda el mes pasado,ingreso
solté mil ochenta y cuatro con veintidós euros esta semana en la revisión del coche,gasto
cobré cuatro mil doscientos trece euros por un proyecto de desarrollo web esta semana,ingreso
me tocó pagar ochenta,gasto
para la compra le di doscientos euros a mi madre,gasto
por una apuesta he percibido mil novecientos veintiuno con sesenta euros,ingreso
de la lotería ingresé mil euros de un bote,ingreso
me han cargado treinta y cinco euros de comisión bancaria,gasto
me costó tres mil ochocientos treinta y siete con ochenta euros gasolina,gasto
de el dentista aboné dos mil doscientos noventa y siete con cuarenta y siete euros,gasto
me entraron en total,ingreso
he desembolsado dos mil,gasto
recibí ochocientos once euros,ingreso
en la compra se me fueron tres mil ciento diez con setenta y siete euros,gasto
he tenido que abonar alrededor de dos mil doscientos cuarenta y uno con cincuenta y cuatro euros por una consulta médica,gasto
recibí tres mil seiscientos,ingreso
se me ingresaron doscientos,ingreso
pagamos doscientos cuarenta y ocho con ochenta y dos euros ayer en una escapada de fin de semana,gasto
por una ayuda he percibido ciento tres euros,ingreso
me cobraron seiscientos cincuenta,gasto
he percibido cuatro mil ochocientos cuarenta y nueve con cuarenta y seis euros por una beca,ingreso
euros en ropa me cobraron cuatro mil setecientos cincuenta con veintisiete,gasto
pagué setenta y nueve,gasto
percibí dos mil quinientos,ingreso
recibí cuatro mil quinientos,ingreso
me pagaron tres mil seiscientos cuarenta y siete con dieciséis euros por una devolución,ingreso
he percibido mil ciento sesenta y cuatro con ocho euros de salario anoche,ingreso
he tenido que abonar quinientos ochenta y tres con cuarenta y ocho euros ayer en ropa,gasto
entraron cuatrocientos trece con,ingreso
cobré cincuenta y cinco,ingreso
me cobraron ochenta y uno euros de el veterinario este mes,gasto
me han pagado cuatrocientos,ingreso
pagamos dos mil trescientos,gasto
he desembolsado dos mil,gasto
he percibido noventa con,ingreso
en la hipoteca me cobraron tres mil seiscientos treinta euros esta semana,gasto
me cayó veintinueve euros por trabajo de consultoría recientemente,ingreso
cobré tres mil cuatrocientos veinticuatro euros por una beca,ingreso
beca de estudios recibí ochocientos cuarenta y ocho euros de la,ingreso
me han abonado ciento diez euros por el trabajo de fin de semana,ingreso
me llegaron seiscientos euros,ingreso
cobré dos mil cuatrocientos,ingreso
me dejé cincuenta euros,gasto
la comida fuera me han cargado setecientos sesenta y cinco euros esta semana en,gasto
he recibido ochenta y nueve euros por alquilar una habitación hoy,ingreso
me ingresaron tres mil,ingreso
se me fueron cuatrocientos euros en la revisión del coche,gasto
me entraron alrededor de,ingreso
se me fueron doscientos,gasto
súper este mes gasté doce euros en el,gasto
ropa de temporada desembolsé trescientos euros en,gasto
en el ibi pagué alrededor de trescientos sesenta y tres euros,gasto
invertí quinientos once euros,gasto
invertí quinientos noventa y cuatro euros por clases de inglés en marzo,gasto
invertí cuatrocientos treinta y,gasto
cobré mil trescientos cincuenta y siete con veinticuatro euros por un proyecto,ingreso
he desembolsado mil seiscientos cuarenta y ocho con treinta y siete euros en el dentista,gasto
vender la switch cobré doscientos euros por,ingreso
euros en mobiliario pagué setenta y nueve,gasto
ingresé mil ochocientos cuarenta y seis con setenta y seis euros por un trabajo freelance,ingreso
tuve que pagar cuatro,gasto
de indemnización laboral recibí dos mil ochocientos euros,ingreso
por una beca he percibido tres mil seiscientos noventa y dos con cincuenta y nueve euros,ingreso
gasolina esta mañana gasté dieciocho euros en,gasto
en una reparación he pagado dos mil cuatrocientos ochenta y nueve con treinta y dos euros,gasto
he desembolsado ciento cincuenta,gasto
me costó mil quinientos,gasto
en una suscripción he pagado setecientos veintisiete con noventa y tres euros,gasto
he recibido trescientos sesenta,ingreso
tutorías online ayer entraron quinientos treinta y seis euros por,ingreso
pagué seiscientos euros de vuelos para navidad,gasto
en la compra he pagado cuatrocientos treinta y tres con veintiocho euros,gasto
me cobraron ochenta y,gasto
cobré tres mil cuatrocientos sesenta y dos euros por un bonus,ingreso
cobré cuatro mil nueve,ingreso
me tocó pagar dos,gasto
he ingresado dos mil ciento veinte con sesenta y seis euros por una apuesta ganada el mes pasado,ingreso
me han transferido cuatrocientos euros por el trabajo,ingreso
sofá esta semana me han transferido ciento noventa y tres euros de la venta del,ingreso
me ingresaron ochenta y cuatro euros por el proyecto freelance,ingreso
me pagaron cuatro mil cuatrocientos cincuenta y seis con cincuenta y nueve euros por una ayuda,ingreso
cobré dos mil quinientos noventa y siete con sesenta euros por una venta,ingreso
me han abonado mil,ingreso
entraron cuatrocientos trece con treinta euros de cashback de la tarjeta el mes pasado,ingreso
ingresé al final mil ciento noventa y siete euros de bonus trimestral,ingreso
me han transferido cuatrocientos setenta y tres euros por vender el móvil viejo,ingreso
me gasté mil novecientos veinticuatro con treinta y dos euros en el gimnasio,gasto
pensión de viudedad me entraron dos mil dos euros de,ingreso
ochenta euros gasolina me costó tres mil ochocientos treinta y siete con,gasto
me gasté mil ciento,gasto
he ingresado ciento seis con siete euros de la prestación por desempleo recientemente,ingreso
me cobraron setecientos veinte euros en el alquiler,gasto
he cobrado novecientos noventa con cuarenta y uno euros por una apuesta ganada ayer,ingreso
el otro día se me fueron dos mil ciento trece euros con un desayuno,gasto
he desembolsado cuatro mil,gasto
me ingresaron mil cincuenta,ingreso
me pagaron veintidós euros,ingreso
me han abonado tres mil doscientos cuarenta y tres con treinta euros de un bonus,ingreso
de una apuesta recibí cuatro mil ciento veinte con diecisiete euros,ingreso
en el alquiler he desembolsado mil cuatrocientos ochenta y tres con veinte euros,gasto
me han abonado ciento,ingreso
se me ingresaron doscientos,ingreso
he percibido trescientos ochenta,ingreso
gasté doscientos veintisiete euros,gasto
pagamos ciento cuarenta y,gasto
me gasté dos mil,gasto
me entraron nueve euros por trabajo de consultoría esta semana,ingreso
tuve que pagar quinientos,gasto
bruto por fin me han transferido unos trescientos ocho con setenta euros de salario,ingreso
he pagado diecinueve euros,gasto
euros de hacienda me han devuelto ciento veinte,ingreso
me cobraron doscientos cuarenta y ocho euros en un vuelo,gasto
nómina este mes cobré mil ochocientos euros de,ingreso
me han cargado dos mil setecientos ochenta y cuatro euros esta semana en cine,gasto
me costó cuatrocientos once con ochenta y cinco euros en spotify este mes,gasto
de libros usados ingresé ciento cuarenta euros de la venta,ingreso
de una herencia me entraron tres mil setecientos cincuenta euros,ingreso
euros en gasolina se me fueron cuatro mil quinientos setenta y cinco con sesenta y ocho,gasto
me cobraron cuatrocientos noventa,gasto
billete de tren gasté quinientos euros en un,gasto
me llegaron ciento cincuenta euros de la venta en wallapop,ingreso
cobré sesenta euros por un artículo publicado en una revista,ingreso
me han abonado tres,ingreso
me han abonado sesenta,ingreso
de amazon prime he pagado diecinueve euros,gasto
me costó veintiuno euros ayer en cine,gasto
se me fueron tres,gasto
me abonó mil setecientos,ingreso
obtuve ciento sesenta y ocho euros de la ayuda al alquiler este mes,ingreso
ganada este mes me abonaron dos mil cuatrocientos siete euros por una apuesta,ingreso
semana hace poco acabé pagando cuatro mil veinticinco euros por una escapada de fin de,gasto
me ingresaron cuatro mil setecientos uno con cinco euros de nómina,ingreso
gasté noventa y cinco,gasto
en el gimnasio me gasté setecientos treinta y cuatro con setenta y dos euros,gasto
de una transferencia me han abonado mil ciento dieciocho con setenta y ocho euros,ingreso
recibí cuatrocientos sesenta euros,ingreso
solté más o menos,gasto
pagué doce euros de glovo,gasto
me hicieron un ingreso de cuatro mil setecientos noventa y uno euros del alquiler vacacional esta semana,ingreso
me gasté cuatro mil doscientos setenta y cinco euros en la compra,gasto
me han pagado quinientos,ingreso
me ingresaron ciento ochenta euros de la devolución del seguro,ingreso
me tocó pagar cuatrocientos,gasto
pagué dos mil setecientos treinta y seis euros de diésel en febrero,gasto
me pagaron setecientos noventa,ingreso
que he vendido he ganado dos euros por la switch,ingreso
he pagado ochenta y cinco euros en la peluquería,gasto
se me ingresaron alrededor,ingreso
obtuve al final mil ochocientos noventa y dos euros por una asesoría,ingreso
me cobraro cincuenta euros,gasto
se me ingresaron cuatrocientos veinte con sesenta y seis euros de una venta en wallapop el lunes,ingreso
de un vuelo aboné dos mil seiscientos sesenta y cuatro euros,gasto
me tocó pagar cuatrocientos,gasto
me cobraron trescientos cuarenta,gasto
recibí mil quinientos dieciséis euros por una apuesta ganada ayer,ingreso
online esta mañana me cobraron sesenta euros en un curso,gasto
cobré doscientos diez euros por hacer fotos en una boda,ingreso
de un proyecto recibí cuatro mil trescientos cincuenta y seis con cincuenta y uno euros,ingreso
se me ingresaron cuatro mil doscientos treinta y siete euros de una venta en vinted esta semana,ingreso
bonus trimestral recientemente me han transferido mil cincuenta y cinco euros de,ingreso
tuve que pagar ochenta,gasto
me gasté mil ciento cuarenta y dos con noventa y nueve euros en la compra,gasto
artículo publicado ayer me cayó dos mil seiscientos setenta y siete euros por un,ingreso
he recibido ochenta y,ingreso
de el dentista aboné tres mil ciento sesenta y ocho con cuarenta euros,gasto
desembolsé treinta y tres euros con videojuegos esta semana,gasto
he recibido trescientos cincuenta y uno con treinta y ocho euros de una herencia durante el finde,ingreso
ayuda al alquiler me han ingresado setecientos euros de,ingreso
material de oficina gasté novecientos treinta y uno con setenta y tres euros por,gasto
pagué mil novecientos cuarenta,gasto
el mes pasado se me ingresaron cuatrocientos setenta y cinco con veintitrés euros de la ayuda al alquiler,ingreso
he cobrado treinta y,ingreso
me entraron setenta y,ingreso
me han pagado doscientos setenta y tres euros de una venta en vinted hoy,ingreso
pagué tres mil ciento,gasto
me han transferido ciento,ingreso
de mis vecinos cobré treinta euros por cuidar al perro,ingreso
me pagaron mil ochocientos,ingreso
en el dentista me cobraron tres mil novecientos treinta y cinco euros,gasto
recibí mil trescientos veintidós,ingreso
tuve que pagar trescientos treinta y uno con cuarenta euros en una mudanza esta mañana,gasto
de una transferencia recibí cuatro mil ciento trece euros,ingreso
me han abonado mil setecientos ochenta y tres con cuatro euros de nómina,ingreso
me dejé trescientos dieciséis,gasto
he desembolsado tres mil ciento treinta y tres con treinta y cuatro euros en electricidad,gasto
gasté mil setecientos setenta,gasto
se me fueron cuatro,gasto
gasté veintidós euros en una planta para casa,gasto
obtuve dos mil ciento,ingreso
he percibido mil ciento,ingreso
me ingresaron tres mil,ingreso
me abonó ciento sesenta y seis con veintitrés euros de la devolución del irpf recientemente,ingreso
en el supermercado me gasté tres mil seiscientos cincuenta euros,gasto
me costó cuarenta y,gasto
desembolsé mil quinientos euros en un ordenador nuevo,gasto
he gastado cuatrocientos cincuenta euros para pagar la factura del agua,gasto
desembolsé doscientos sesenta y,gasto
cena de grupo me salió por doscientos euros la,gasto
he percibido mil cuatrocientos noventa y siete euros por una beca,ingreso
de una beca me ingresaron tres mil ochocientos sesenta y nueve con cincuenta y ocho euros,ingreso
de el coche aboné tres mil setecientos cuarenta y ocho euros,gasto
percibí treinta y dos euros por un encargo de programación este mes,ingreso
por un proyecto me pagaron tres mil novecientos veinticinco con treinta y ocho euros,ingreso
por el supermercado pagué cuatro mil seiscientos noventa y uno con veintiocho euros,gasto
me cobraron dos mil,gasto
me pagaron mil quinientos,ingreso
me pagaron cuatro mil,ingreso
me han pagado seiscientos cincuenta euros por el trabajo de diseño,ingreso
acabé pagando más o,gasto
trabajo de diseño me han pagado seiscientos cincuenta euros por el,ingreso
me pagaron cuatro mil treinta y seis con cincuenta y tres euros por una ayuda,ingreso
me cobraron novecientos dieciocho,gasto
cobré doscientos catorce con,ingreso
se me fueron tres,gasto
me pagaron cuatro mil,ingreso
el mes pasado cobré seiscientos sesenta y seis euros del alquiler del piso,ingreso
aboné noventa y cinco,gasto
en un vuelo he desembolsado mil doscientos veintinueve euros,gasto
he desembolsado tres mil,gasto
pagar unos auriculares tuve que pagar cincuenta y siete euros para,gasto
desembolsé setecientos setenta y ocho euros de flores el viernes,gasto
me han cargado ochocientos,gasto
he pagado dos mil,gasto
me pagaron dos mil,ingreso
me mandaron un bizum,ingreso
me han abonado tres mil sesenta y siete euros de una devolución,ingreso
spotify este año se me fueron ochenta y siete euros de,gasto
recibí tres mil treinta,ingreso
he desembolsado cuatro mil,gasto
aboné cuatro mil seiscientos,gasto
he desembolsado seiscientos uno,gasto
consola en marzo me tocó pagar ochenta y ocho con tres euros por una,gasto
de una reparación aboné mil novecientos noventa y dos con setenta y cinco euros,gasto
de una suscripción aboné cuatro mil seiscientos once euros,gasto
cobré tres mil cuatrocientos,ingreso
se fueron tres mil,gasto
de una compra me han pagado dos mil trescientos setenta y tres euros de una devolución,ingreso
pagué cuatro mil ochocientos doce euros este mes en la niñera,gasto
irpf por fin me hicieron un ingreso de aproximadamente dos mil trescientos ochenta y cuatro con setenta y seis euros de la devolución del,ingreso
se me ingresaron ochocientos,ingreso
aboné quinientos cuarenta con,gasto
me pagaron mil novecientos,ingreso
he recibido trescientos sesenta y uno euros de pensión este mes,ingreso
cobré tres mil setecientos dieciocho euros por el trabajo de diseño ayer,ingreso
se me ingresaron dos,ingreso
entraron dos mil trescientos cincuenta y uno con veintiuno euros de la devolución del irpf,ingreso
me han pasado el recibo de cuarenta y cinco euros del gym,gasto
me han transferido novecientos,ingreso
me costó veinticinco euros,gasto
ingresé setecientos seis euros,ingreso
he desembolsado tres mil ciento cincuenta y uno euros en el supermercado,gasto
aboné quinientos cuarenta con setenta y ocho euros por la suscripción al periódico,gasto
he recibido cuatro mil novecientos cuarenta y ocho euros por el trabajo de diseño el otro día,ingreso
