oracion,etiqueta
cuarenta doscientos ocho he una por herencia euros y con percibido mil,ingreso
me ingresaron trescientos,ingreso
euros en velas y decoración gasté treinta,gasto
me entraro novecientos uno euros por vender una bici,ingreso
tuve que pagar,gasto
me han metido,ingreso
fueron dos mil novecientos ochenta y seis euros en el supermercado se me,gasto
recibí la vacaciones euros mil de liquidación de,ingreso
he recibido setenta,ingreso
me costó mil,gasto
y gasté euros cinco dos seiscientos dentista setenta en el mil,gasto
gasté setenta y cinco euros en la tienda de deporte,gasto
con tres euros cincuenta de recientemente una devolución ciento de transferido han diecinueve me hacienda,ingreso
me pagaron novecientos,ingreso
mantenimiento de cuenta,gasto
me costó dos,gasto
circulación tuve que pagar quinientos noventa y cinco euros para pagar el impuesto de,gasto
seiscientos con diésel euros me en veintiocho cobraron,gasto
doce y compra costó me nueve treinta euros con novecientos mil,gasto
se ochenta mil y euros ocho dos doscientos me con en fueron gasolina,gasto
mil doscientos diecinueve con noventa y cuatro euros por una herencia cobré cuatro,ingreso
me devolución dieciséis con tres y cuarenta una mil por seiscientos pagaron euros,ingreso
me ingresaro mil ochenta y tres con dos euros de una venta,ingreso
me entraron aproximadamente,ingreso
setecientos noventa y tres euros por un proyecto me pagaron,ingreso
del alquiler vacacional,ingreso
he desembolsado tres,gasto
cuatrocientos treinta y ocho con treinta y dos euros por hacer de canguro este mes ingresé mil,ingreso
he soltado tres mil ochenta y tres euros en gasolina,gasto
viejo cobré setenta y cinco euros por vender el móvil,ingreso
cincuenta nómina mil cuatro setecientos de con euros recibí y,ingreso
intereses recibí casi veinte euros de,ingreso
un ordenador nuevo,gasto
fueron cuatro mil quinientos noventa y dos con once euros en ropa se me,gasto
me abonaro dos mil cuatrocientos sesenta y seis euros por horas extra,ingreso
más o menos cincuenta y ocho euros en un ordenador nuevo me costó,gasto
solté dos mil ochocientos,gasto
de ochenta del seiscientos entraron dos mil euros la devolución y irpf me hoy,ingreso
y hoy cuarenta percibí curso por ocho un trescientos euros,ingreso
entraron unos tres,ingreso
en el cerrajero solté sesenta y dos euros ayer,gasto
de una compra me pagaron mil noventa y cuatro con ocho euros de una devolución,ingreso
euros en el mercadillo gasté veinticinco,gasto
me pagaron cuatro mil,ingreso
se fueron setenta euros,gasto
y dos por ciento con uno bonus euros ochenta cuarenta cuatro cobré y un,ingreso
le transferí sesenta euros a carlos para la cena,gasto
novecientos euros menos pagado por fin el por diseño treinta nueve trabajo han más o y me de,ingreso
al final quinientos once con noventa y ocho euros de una paga atrasada he ingresado,ingreso
he pagado cien,gasto
euros ayer de cargado mil me han taxi un veintidós,gasto
he gastado cincuenta y,gasto
pequeño por fin se me ingresaron aproximadamente mil doscientos ochenta y seis con ochenta y tres euros de un premio,ingreso
me han soltado cuatrocientos,ingreso
por el supermercado,gasto
por una devolución,ingreso
en un vuelo se me fueron tres mil trescientos diecinueve con dieciséis euros,gasto
veinticinco euros por alquilar una habitación esta semana me abonó,ingreso
me entraro treinta y,ingreso
me pagaron tres mil,ingreso
ochocientos euros de nómina este mes cobré mil,ingreso
más o menos novecientos cuarenta y dos con dieciséis euros de cashback de la tarjeta por fin me pagaron,ingreso
ingresado doscientos treinta euros de la ayuda al alquiler me han,ingreso
devolución me ingresaron treinta y tres con ochenta y tres euros de una,ingreso
mil sesenta tres con quinientos por uno diecinueve y euros percibido un proyecto,ingreso
setenta cinco euros tres en y trescientos una ayer me mil dejé,gasto
doscientos trece con ochenta y siete euros ayer en un tren se fueron,gasto
con ingresado de encargo euros sesenta cinco programación semana ciento y un esta por he,ingreso
recientemente me han pagado trescientos cinco con cuarenta y uno euros por vender el coche,ingreso
seguro del coche me dejé unos setecientos quince euros en el,gasto
aboné novecientos sesenta,gasto
me costó tres mil quinientos setenta y seis con veintinueve euros el gimnasio,gasto
me han pasado,gasto
online en marzo he cobrado mil quinientos siete euros por tutorías,ingreso
mil noventa ropa fueron quinientos con cuatro once me en euros dos se,gasto
días se me fueron trescientos uno con treinta y nueve euros en un taxi hace unos,gasto
he recibido en,ingreso
se me fueron cuatrocientos,gasto
del irpf hoy me entraron dos mil seiscientos ochenta y dos euros de la devolución,ingreso
pagar el cerrajero,gasto
devolución me pagaron dos mil treinta y dos con cuatro euros por una,ingreso
fisioterapeuta me costó seiscientos veinticuatro euros esta semana en el,gasto
cobrado trescientos euros del spotify me han,gasto
por ocho seiscientos una setenta ingresé devolución y,ingreso
me cobraron mil seiscientos sesenta y ocho con cuarenta y tres euros en el gimnasio,gasto
gasté setenta euros,gasto
recibí quinientos euros de,ingreso
recibí cuatro mil,ingreso
gasolina con ciento mil pagado setenta en euros he tres y seis,gasto
me llegó la transferencia de mil quinientos euros del alquiler,ingreso
por una transferencia,ingreso
euros en gasolina,gasto
mil trescientos setenta y dos con cincuenta y cinco euros por nómina he percibido,ingreso
ingresé setecientos ochenta y cinco con noventa y siete euros por una herencia,ingreso
me han pagado,ingreso
ciento del ingresaron seguro devolución ochenta euros la me,ingreso
euros y flores viernes dejé cuatrocientos me ocho cuarenta en,gasto
pasado por tres un cuatro el y con noventa y mil euros ingresaron referir treinta cliente a me dos se,ingreso
presté a juan,ingreso
abonado dos mil cuatrocientos dieciocho con setenta y tres euros de un proyecto me han,ingreso
cobré nueve euros por,ingreso
he soltado en total sesenta y nueve euros por una reforma,gasto
para taxi pagar un doce solté mil euros ochocientos,gasto
me han abonado setecientos con cincuenta euros de un proyecto,ingreso
euros de dividendos me llegaro trescientos veinte,ingreso
me cayeron aproximadamente cuatrocientos setenta y seis euros de salario bruto por fin,ingreso
transferencia me han abonado mil ciento dieciocho con setenta y ocho euros de una,ingreso
se me fueron,gasto
me entraro tres mil,ingreso
he soltado novecientos cuarenta,gasto
en una reparación he soltado dos mil cuatrocientos ochenta y nueve con treinta y dos euros,gasto
me pagaro unos trescientos treinta y siete euros de un bono de fidelidad,ingreso
cuatrocientos veintinueve con veintiséis euros por dar clases particulares recientemente he percibido,ingreso
en una suscripción me cobraron tres mil seiscientos veintisiete euros,gasto
he desembolsado mil novecientos,gasto
he recibido cincuenta y,ingreso
seis trescientos dos y la comunidad treinta he euros en pagado,gasto
cobré mil cuatrocientos veintidós,ingreso
gasolina me gasté dos mil seiscientos cincuenta y ocho con noventa y dos euros en,gasto
he pagado mil,gasto
mil novecientos ochenta con tres euros por una apuesta me pagaron,ingreso
taxi trayecto en costó me veinticinco euros,gasto
gaste doscientos en gasolina,gasto
entraron dos mil,ingreso
ropa me gasté cuatro mil setecientos setenta y siete con cuarenta y cinco euros en,gasto
treinta gasté novecientos euros con y material uno oficina de por tres y,gasto
y cuatro euros este mes en una impresora pagué treinta,gasto
retraso me han cobrado cincuenta euros de penalización por,gasto
gasolina once con quinientos por euros dos y pagué,gasto
netflix aboné doscientos mil veintinueve doce con euros,gasto
dos mil novecientos cincuenta y uno euros por un trabajo freelance me pagaron,ingreso
cena le hice un bizum a ana de veinte euros para la,gasto
cena la por han mandado bizum me el de euros ciento,ingreso
pagué en total doscientos,gasto
he cobrado novecientos,ingreso
he soltado cuatro mil,gasto
suscripción aboné cuatro mil seiscientos once euros de una,gasto
me cobraron cuatro,gasto
cena me gasté cuatro mil seiscientos noventa y uno con ochenta y siete euros en una,gasto
pagué quinientos sesenta y,gasto
me pagaron cuatro,ingreso
cuarenta y del cinco recibo pasado han me euros el gym,gasto
documento me han pagado trescientos ochenta euros por traducir un,ingreso
me han cargado cuarenta y seis euros para pagar el alquiler,gasto
euros de icloud me han cobrado noventa y nueve,gasto
vídeo este trimestre,ingreso
me han abonado noventa euros de cashback de la tarjeta,ingreso
ingresé seiscientos veinticinco con cincuenta y tres euros por una herencia,ingreso
doscientos ochenta y nueve euros de una cena aboné mil,gasto
seguro por fin se me ingresaron unos ochocientos veintitrés euros de la devolución del,ingreso
ayuda me pagaron dos mil ochocientos siete euros por una,ingreso
me llegó la transferencia,ingreso
desembolsé mil quinientos euros en un ordenador nuevo,gasto
desembolsé doscientos setenta,gasto
me entraron dieciocho con veinticuatro euros de una subvención ayer,ingreso
me pagaron sesenta,ingreso
he pagado tres,gasto
por un proyecto cobré mil novecientos setenta y nueve euros,ingreso
por nueve con pagué noventa euros treinta tres el coche cuatrocientos y tres mil,gasto
he pagado mil trescientos,gasto
el ibi hoy he soltado seiscientos sesenta y cuatro euros por,gasto
he pagado en,gasto
gasolina con seiscientos noventa en y euros dos dos me ocho y mil cincuenta,gasto
tres mil ochocientos sesenta y nueve con cincuenta y ocho euros de una beca me ingresaron,ingreso
y euros dos seiscientos de mil una noventa cuatro transferencia,ingreso
me han abonado,ingreso
el gasté finde durante por veintisiete cena doscientos la,gasto
de una herencia me ingresaron cuatro mil doscientos setenta con noventa y nueve euros,ingreso
seiscientos trece freelance noventa de con un trabajo euros mil tres,ingreso
vuelo hace poco,gasto
cobré mil trescientos cincuenta,ingreso
ochenta euros gasolina me costó tres mil ochocientos treinta y siete con,gasto
fontanero esta mañana he tenido que abonar diecisiete euros en un,gasto
de un bonus me ingresaron tres mil quinientos sesenta y dos con veinticuatro euros,ingreso
proyecto recibí cuatro mil ochocientos doce con cinco euros de un,ingreso
cobré doscientos catorce,ingreso
me llegaron seiscientos euros del seguro por el golpe,ingreso
un trabajo freelance me ingresaro quinientos noventa euros de,ingreso
desayuno este mes,gasto
en el dentista,gasto
gasté treinta y cinco euros en el mercadona del viernes,gasto
he percibido ciento,ingreso
me cobraro ciento treinta,gasto
me entraron mil,ingreso
herencia cuarenta una y han doscientos me uno de dos mil con euros,ingreso
percibí dos mil,ingreso
me abonaron dos,ingreso
videojuegos cuatro acabé cuatrocientos nueve y euros pagar sesenta mil con para,gasto
me cobraron tres mil seiscientos veintisiete euros en una suscripción,gasto
evento me han pagado doscientos treinta euros por las fotos del,ingreso
por y vender cinco recibí consola euros noventa,ingreso
me pagaron al final,ingreso
me han pasado dieciocho euros del recibo del agua,gasto
cobré doscientos euros por,ingreso
me gasté cuatro,gasto
pagado mil trescientos cincuenta euros por el proyecto de desarrollo web me han,ingreso
me han abonado cuatro,ingreso
freelance mil veintiuno por seiscientos trece tres cobré euros con un,ingreso
cobré cincuenta y cinco,ingreso
me han ingresado mil,ingreso
percibí dos mil cuatrocientos,ingreso
gasté dieciocho euros,gasto
se fueron ciento cuarenta,gasto
me cayeron dos mil treinta y dos con cuatro euros por una devolución,ingreso
nueve cincuenta y asesoría euros una dos mil quinientos percibí por,ingreso
uno online por euros hoy ciento ingresé,ingreso
euros ayer y ganada una cobrado apuesta uno noventa cuarenta he novecientos con,ingreso
dos mil seiscientos catorce euros en electricidad me gasté,gasto
me han abonado cuatro,ingreso
siete cinco nómina seiscientos ochenta euros y por con sesenta y,ingreso
alquiler esta mañana me han cargado veintisiete euros de el,gasto
euros por gasolina pagué tres mil tres,gasto
universitaria desembolsé casi seiscientos cincuenta y cinco con cincuenta y siete euros en una matrícula,gasto
coche se me fueron dos mil ciento veintitrés euros en el,gasto
setenta y cinco euros de una devolución de hacienda el mes pasado me entraron,ingreso
con desembolsé este cena en mes cuatro y y doscientos siete la setenta sesenta,gasto
obtuve dos mil ciento seis euros por tutorías online recientemente,ingreso
me han cargado,gasto
de una transferencia recibí cuatro mil doscientos catorce con doce euros,ingreso
bonus cobré cuatro mil doscientos veintiocho con cincuenta y dos euros por un,ingreso
recibí mil trescientos,ingreso
lavadora se fueron ciento cuarenta euros en reparar la,gasto
mil trescientos sesenta y cinco con treinta y ocho euros en amazon prime desembolsé dos,gasto
diésel me cobraron mil seiscientos con veintiocho euros en,gasto
recibí tres mil,ingreso
me cobró doscientos,gasto
de y y euros cuarenta sesenta novecientos siete aboné con reparación una,gasto
una habitación recientemente,ingreso
extra me abonaron dos mil cuatrocientos sesenta y seis euros por horas,ingreso
me pagaron ciento,ingreso
desembolsé dos mil uno con sesenta y ocho euros para pagar parking,gasto
percibí sesenta y,ingreso
dos mil seiscientos veinticinco con ochenta y tres euros el supermercado me costó,gasto
de ochenta en mano cuatrocientos euros gasté móvil un,gasto
fueron quinientos noventa y nueve euros por zapatos hace poco se me,gasto
por viejo euros cinco y cobré vender setenta móvil,ingreso
subvención y doscientos hoy han transferido euros veintiséis de cincuenta una con tres,ingreso
me han abonado dos,ingreso
he pagado cuatro,gasto
pagué alrededor de,gasto
de un bonus,ingreso
de una devolución recibí treinta y dos con sesenta euros,ingreso
gasté setenta y,gasto
quinientos han me pagado,ingreso
de vacaciones recientemente,ingreso
abonado setenta y cinco con diez euros de una venta me han,ingreso
cobré dos mil ochocientos sesenta y cinco euros por un proyecto,ingreso
pagamos trescientos cincuenta,gasto
de una reparación,gasto
agua en marzo,gasto
por una venta me cayeron cuatro mil cuatrocientos veintisiete con noventa y tres euros,ingreso
por vender entradas me abonaron dos mil trescientos sesenta y cuatro con cuarenta euros,ingreso
me abonó sesenta y cinco euros de la venta de libros usados ayer,ingreso
euros corto cinco cobré ochenta un y texto traducir,ingreso
he percibido cuatro,ingreso
he percibido cuatro,ingreso
tren se fueron doscientos trece con ochenta y siete euros ayer en un,gasto
tarde me costó ciento cuarenta euros en reparar el tejado esta,gasto
me entraro noventa y cinco euros de la devolución del seguro esta semana,ingreso
curso que impartí,ingreso
euros en ropa he pagado mil seiscientos noventa y ocho,gasto
como autónomo hoy me han pagado doscientos sesenta y uno con cincuenta y cuatro euros de honorarios,ingreso
cuarenta setecientos semana seis treinta se con de ingresaron euros esta canguro y me hacer,ingreso
euros el gimnasio,gasto
me pagaro mil seiscientos,ingreso
he desembolsado tres mil ciento cincuenta y uno euros en el supermercado,gasto
doscientos sesenta y uno con treinta euros por impartir un curso por fin he percibido,ingreso
en una reparación he pagado cuatro mil ciento nueve con setenta y cinco euros,gasto
he percibido mil,ingreso
desembolsé casi seiscientos,gasto
me costó novecientos sesenta,gasto
pagar amazon prime,gasto
por el ibi,gasto
euros del pago el ha trescientos de llegado cliente,ingreso
silla de oficina pagué ciento setenta y cuatro con diecisiete euros ayer en una,gasto
cuarenta me mil y en uno quinientos gasolina con euros diecinueve dos,gasto
por la peluquería me cobraron aproximadamente quinientos cincuenta y seis euros,gasto
me han abonado mil cuatrocientos noventa y cuatro con seis euros de una apuesta,ingreso
me han cobrado quince euros de mantenimiento de cuenta,gasto
transferido mil cuatrocientos setenta y nueve con veintitrés euros por trabajo de consultoría el mes pasado me han,ingreso
compra mil la veintiuno cuarenta cuatrocientos seis me costó y con tres,gasto
he pagado setecientos veintisiete con noventa y tres euros en una suscripción,gasto
desembolsé trescientos euros en,gasto
me pagaro cuatro mil,ingreso
de una beca me han abonado dos mil setecientos setenta y seis euros,ingreso
me ingresaron cuatrocientos,ingreso
en un japonés pagué noventa euros de cena,gasto
he desembolsado setecientos,gasto
me extranjero en retirar han el efectivo quince euros por,gasto
tres mil trescientos setenta y cinco euros ayer en una reforma me dejé,gasto
me han cargado,gasto
salario he cobrado cuatro mil setecientos sesenta y cinco euros de,ingreso
corte de pelo,gasto
de una compra me cayeron mil noventa y cuatro con ocho euros de una devolución,ingreso
de una apuesta,ingreso
me ingresaron cuatrocientos cuarenta,ingreso
euros en ropa,gasto
ayuda escolar recientemente se me ingresaro setenta euros de,ingreso
fueron diecinueve euros en una consulta médica se me,gasto
me cobraron cien,gasto
he desembolsado dos,gasto
quinientos noventa y dos con diecinueve euros en el gimnasio me gasté,gasto
se me ingresaro cuatro,ingreso
recibí mil setecientos,ingreso
por una devolución me pagaro dos mil treinta y dos con cuatro euros,ingreso
me pagaron dos mil,ingreso
euros seiscientos matrícula cincuenta casi siete cinco desembolsé universitaria cincuenta en con y y,gasto
me han abonado,ingreso
ochenta y cinco euros en la peluquería he pagado,gasto
recibí dos mil quinientos euros de la herencia de mi tía,ingreso
cobré tres mil ciento treinta y ocho euros por una transferencia,ingreso
he euros pagado mil gasolina en tres y ochenta,gasto
me entraro novecientos cincuenta euros de una transferencia familiar hoy,ingreso
inglés he desembolsado ciento cincuenta y ocho con ocho euros este mes en clases de,gasto
traducir un documento ingresé en total ochocientos veinticuatro con treinta euros por,ingreso
por una devolución cobré cuatro mil seiscientos veintidós con sesenta y cinco euros,ingreso
me abonaron treinta,ingreso
me han cobrado,gasto
oficina gasté noventa y cinco euros en material de,gasto
ingresé ochocientos dos euros,ingreso
se me fueron,gasto
recibí cuatro mil doscientos catorce con doce euros de una transferencia,ingreso
comunidad en enero,gasto
invertí quinientos noventa,gasto
y euros y transferencia esta cuarenta noventa familiar un cuatro una de nueve semana me ingreso con hicieron,ingreso
de libros usados,ingreso
me ingresaron ochocientos ochenta,ingreso
he soltado dos mil novecientos cuatro con quince euros en el supermercado,gasto
niñera en enero,gasto
cargado cuatro mil seiscientos treinta y uno euros en un portátil recientemente me han,gasto
alquiler vacacional recientemente entraron setecientos diecisiete euros del,ingreso
me cayeron cuatro mil,ingreso
veterinario desembolsé más o menos ochenta euros en el,gasto
ingresé mil ochocientos cuarenta y seis con setenta y seis euros por un trabajo freelance,ingreso
mil trescientos ochenta y tres con noventa y tres euros por la comunidad esta semana he pagado,gasto
día pagamos cuatrocientos veintitrés euros de amazon prime el otro,gasto
hoy me entraron quinientos veintiséis euros por vender entradas,ingreso
clases particulares recientemente,ingreso
aboné cuatro mil,gasto
he percibido dos mil doscientos ochenta y nueve con veinticinco euros por un bonus,ingreso
por un bonus,ingreso
aboné cuatro mil cuatrocientos,gasto
y una euros han me apuesta seis mil cuatro con cuatrocientos abonado de,ingreso
gasté ciento cincuenta,gasto
me cobraro dos mil,gasto
me costó mil ochocientos quince euros una cena,gasto
un referir por siete y euros sesenta cliente percibí,ingreso
en el gimnasio me cobraro novecientos setenta euros,gasto
revisión del coche se me fueron cuatrocientos euros en la,gasto
recibí cuatro mil ciento veinte con diecisiete euros de una apuesta,ingreso
mil setecientos noventa y cuatro con veintinueve euros por una apuesta cobré tres,ingreso
me cobraro cuatro mil cuatrocientos cincuenta y cuatro euros en electricidad,gasto
alquiler de cincuenta euros ocho y y cincuenta el quinientos aboné con,gasto
he soltado tres mil,gasto
se me fueron,gasto
mil novecientos noventa y dos con doce euros por nómina ingresé tres,ingreso
he percibido doscientos sesenta y uno con treinta euros por impartir un curso por fin,ingreso
marzo invertí setecientos sesenta y siete euros de la factura del agua en,gasto
recibí setecientos cincuenta,ingreso
ingresaron cuatrocientos veinte con sesenta y seis euros de una venta en wallapop el lunes se me,ingreso
cuatro de recibí veinte una apuesta euros con mil ciento,ingreso
han beca ochenta seis doscientos con me de euros ochenta y dos y una mil cinco,ingreso
me entraro aproximadamente doscientos,ingreso
me costó cinco,gasto
recibí devolución de de euros quinientos,ingreso
con mil euros catorce de novecientos y herencia ingresaron me una siete cuarenta,ingreso
percibí dos mil,ingreso
ingresé mil ciento,ingreso
aboné cuatro mil,gasto
ingresé en total,ingreso
y por cobré cinco euros proyecto sesenta mil un ochocientos,ingreso
se me fueron,gasto
con me cuarenta en cuatro uno y setenta cobraron trescientos gasolina euros,gasto
he pagado tres mil,gasto
de un bonus me ingresaro tres mil quinientos sesenta y dos con veinticuatro euros,ingreso
un trabajo freelance me pagaron dos mil cuatrocientos cuarenta y cinco con nueve euros por,ingreso
he recibido diecisiete euros,ingreso
se me fueron doscientos,gasto
taxi solté ciento ochenta euros en un,gasto
aboné cuatro mil,gasto
tres he una beca percibido y siete por ochenta mil euros,ingreso
me gasté tres mil,gasto
de una herencia me ingresaro dos mil novecientos cuarenta y siete con catorce euros,ingreso
he percibido cuatrocientos,ingreso
veinte euros por una apuesta ganada hoy percibí trescientos,ingreso
ciento setenta y seis con ochenta y seis euros por un trabajo freelance me pagaron,ingreso
cobré dos mil novecientos noventa y cuatro con veintitrés euros por un bonus,ingreso
al alquiler recientemente,ingreso
me pagaron ochocientos,ingreso
me ingresaron cuatro mil seiscientos doce con ocho euros de una devolución,ingreso
cobré tres mil ciento noventa con ochenta euros por un proyecto,ingreso
ciento cincuenta euros de la venta en wallapop me llegaron,ingreso
me costaron ciento veinte,gasto
me pagaron dos,ingreso
regalo de cumpleaños se me ingresaro doscientos quince con cuarenta y seis euros de,ingreso
me pagaron tres,ingreso
mil novecientos sesenta y siete euros de gasolina aboné tres,gasto
mercadillo gasté veinticinco euros en,gasto
beca he percibido mil quinientos euros por una,ingreso
me han pagado,ingreso
subvención por fin,ingreso
se me ingresaron ochocientos cuatro con cincuenta y ocho euros de una venta en vinted hoy,ingreso
dos por con nueve he un veinticinco mil y ochenta percibido doscientos bonus,ingreso
me han abonado tres mil sesenta y siete euros de una devolución,ingreso
anoche pagamos doscientos cuarenta y ocho euros por spotify,gasto
un trabajo freelance recibí mil setecientos noventa con cincuenta y cinco euros de,ingreso
me pagaron dos,ingreso
compra del supermercado,gasto
ingresé dos mil setecientos quince con treinta y siete euros por una devolución,ingreso
por el alquiler pagué cuatro mil setecientos setenta y cuatro con cincuenta y cuatro euros,gasto
mes me costó cincuenta y dos con cincuenta y cinco euros de la niñera este,gasto
veintisiete euros por la cena durante el finde gasté doscientos,gasto
en la comunidad acabé pagando cuarenta y uno euros esta semana,gasto
se me ingresaro doscientos,ingreso
he desembolsado trescientos cincuenta y ocho con cuarenta y tres euros en el gimnasio,gasto
me ingresaron cuatro,ingreso
apuesta del mundial,ingreso
familiar esta semana me hicieron un ingreso de noventa y nueve con cuarenta y cuatro euros de una transferencia,ingreso
un reportaje fotográfico me abonaron mil setenta y nueve con uno euros por,ingreso
euros en electricidad,gasto
me costó veintiséis,gasto
nuevas para cincuenta euros y cuarenta novecientos y tres unas desembolsé pagar gafas con,gasto
euros el gimnasio me costó doscientos noventa y cinco con cuarenta y seis,gasto
se me fueron,gasto
me pagaron setecientos,ingreso
el pelo salió me por euros corte de,gasto
revisión este euros del en he mes desembolsado y la cuatrocientos coche seis,gasto
y la factura con costó mil luz ochenta por me la de cinco cinco esta y tarde euros cincuenta,gasto
me hicieron un ingreso de doscientos cuarenta y tres euros por vender entradas hoy,ingreso
me abonaron mil,ingreso
en el ibi pagué alrededor de trescientos sesenta y tres euros,gasto
mil cuatrocientos veinticuatro euros por una beca cobré tres,ingreso
he percibido dos mil ochocientos cuarenta y dos euros por un bonus,ingreso
se me fueron,gasto
mil setecientos noventa y dos con veintisiete euros de intereses este mes me cayó,ingreso
me cayeron dos mil ciento noventa euros por una beca,ingreso
aboné quinientos cincuenta y ocho con cincuenta y cinco euros de el alquiler,gasto
ingresé dos mil,ingreso
pasado obtuve dos mil ciento ocho euros de una devolución de hacienda el mes,ingreso
y costó novecientos setenta me euros ropa,gasto
con cuatro sesenta gasté y me en euros el gimnasio siete cuarenta,gasto
se me fueron setecientos,gasto
me cobraron novecientos,gasto
aboné doscientos cincuenta con,gasto
me mandaro un bizum,ingreso
y percibido noventa seiscientos por he una mil euros dos dieciséis venta con,ingreso
obtuve quinientos treinta,ingreso
súper esta semana me han cargado noventa y ocho euros de el,gasto
mil recibido cuatro y diseño novecientos otro ocho trabajo por cuarenta he el día de euros,ingreso
acabé pagando dos mil,gasto
pagué tres mil tres,gasto
me cobraron mil,gasto
bonus trimestral hoy,ingreso
días tuve que pagar quinientos setenta y cinco euros en la revisión del coche hace unos,gasto
sesenta venta doscientos ingresé mil tres y y una cuatro cuarenta con por,ingreso
súper esta semana se fueron ochenta euros en el,gasto
me cobraron novecientos setenta euros en el gimnasio,gasto
cobré dos mil,ingreso
he gastado cincuenta y siete con treinta y siete euros por la factura de la luz,gasto
me han transferido trescientos cuarenta y siete con ochenta euros de comisión por ventas el lunes,ingreso
proyecto me pagaron setecientos noventa y tres euros por un,ingreso
me han ingresado,ingreso
me pagaron tres,ingreso
en y mil tres setenta euros se sesenta me fueron dentista seiscientos con,gasto
me gasté cuatro,gasto
ingresé en total,ingreso
acabé pagando dos,gasto
por una devolución he percibido cuatrocientos doce con setenta y uno euros,ingreso
me entraro alrededor de dos mil ochocientos sesenta y seis euros de una devolución de una compra,ingreso
venta en wallapop me llegaron ciento cincuenta euros de la,ingreso
recibí dos mil quinientos,ingreso
hoy me han pagado doscientos setenta y tres euros de una venta en vinted,ingreso
uno apuesta noventa una por y ingresé,ingreso
y el dentista tres de noventa con cinco mil cincuenta aboné euros cuatrocientos y,gasto
me cobraro seiscientos cincuenta con cincuenta y seis euros en un vuelo,gasto
mes ingresé mil cuatrocientos treinta y ocho con treinta y dos euros por hacer de canguro este,ingreso
tío me cayeron tres mil euros de la herencia de mi,ingreso
tienda de deporte gasté setenta y cinco euros en la,gasto
cobré ochenta y seis euros por un encargo de programación hoy,ingreso
me ingresaro tres mil,ingreso
me pagaron seiscientos,ingreso
tuve que pagar,gasto
por horas extra me entraron cuatrocientos sesenta y cuatro con cincuenta y cuatro euros,ingreso
euros treinta he y con sesenta por impartir fin doscientos uno curso por un,ingreso
por una apuesta he percibido tres mil novecientos uno euros,ingreso
pagué setenta y,gasto
cuatro mil online euros por cuarenta me ciento y tutorías,ingreso
dos mil cuarenta y siete con cuarenta y cinco euros por una apuesta me pagaron,ingreso
ayuda nueve de recibí una cuarenta doscientos euros,ingreso
bonus me ingresaron ciento veintiuno con sesenta y cinco euros de un,ingreso
doce euros esta semana en impuestos he gastado,gasto
diseño me han pagado seiscientos cincuenta euros por el trabajo de,ingreso
euros de nómina me ingresaro dos mil uno con dieciocho,ingreso
de una beca recibí cuatro mil seiscientos sesenta y cuatro con sesenta y cinco euros,ingreso
cuatro mil cuatrocientos ochenta y uno euros por un proyecto he percibido,ingreso
compra alrededor ochocientos de y me de de mil dos devolución una seis una euros sesenta,ingreso
tuve que pagar sesenta,gasto
reparación he desembolsado mil novecientos veintiséis euros en una,gasto
mil treinta y cinco euros de regalo de cumpleaños hoy obtuve dos,ingreso
me hicieron un ingreso,ingreso
he gastado mil,gasto
tres mil ciento cuarenta y dos con cuarenta y tres euros en el gimnasio he pagado,gasto
noventa cuatro euros y ingreso familiar semana una y hicieron de nueve esta cuarenta transferencia me un con,ingreso
cuatrocientos cuatro acabé pagar mil videojuegos y para euros con nueve sesenta,gasto
tuve que pagar,gasto
cincuenta y nueve con cuarenta y dos euros por vender entradas por fin obtuve trescientos,ingreso
gasté euros ciento en recetados medicamentos,gasto
he pagado cuatro,gasto
se me ingresaron aproximadamente mil doscientos ochenta y seis con ochenta y tres euros de un premio pequeño por fin,ingreso
me costó tres,gasto
he percibido tres mil doscientos cuarenta y siete con treinta y siete euros por una ayuda,ingreso
me herencia seiscientos cuatro hicieron setenta una un euros de ingreso de y,ingreso
euros por nómina,ingreso
ochenta trescientos del de el seguro euros coche y lunes desembolsado el he,gasto
por una transferencia,ingreso
negocio por fin,ingreso
desembolsé ciento veintisiete con,gasto
publicado este mes,ingreso
dos mil trescientos noventa y cinco euros en la factura de la luz este trimestre se fueron,gasto
liquidación vacaciones setenta y uno de he la recientemente cobrado euros,ingreso
dos por y nómina con he trescientos y mil cincuenta setenta cinco percibido,ingreso
se me ingresaron alrededor,ingreso
por trescientos y me abonaron cuarenta euros mil vender dos entradas con sesenta,ingreso
intereses en marzo me abonaro cuatro mil ochocientos ochenta y cuatro euros de,ingreso
he percibido mil ochocientos,ingreso
me han abonado cuarenta y cinco euros de cashback,ingreso
pensión hace poco me han pagado ciento setenta y dos euros de,ingreso
una consulta médica se me fueron diecinueve euros en,gasto
mil ochocientos diez euros por un bonus cobré tres,ingreso
me pagaron dos,ingreso
doscientos cobraron me,gasto
euros de nómina,ingreso
gasté quinientos euros,gasto
mil trescientos setenta euros de la venta de libros usados la semana pasada cobré tres,ingreso
he cobrado trece euros,ingreso
obtuve aproximadamente mil,ingreso
me cayeron trescientos cuarenta,ingreso
dinero de transferencia,gasto
me gasté ochocientos,gasto
ingresé tres mil,ingreso
me costó mil novecientos doce con treinta y nueve euros la compra,gasto
fotográfico me han pagado mil cien euros por el reportaje,ingreso
intereses este mes me cayó mil setecientos noventa y dos con veintisiete euros de,ingreso
